zip_code,med_household_income,med_individual_income,percent_under_18,population,housing_units,white,black,american_indian,asian,native_hawaiian,non_hispanic_other,hispanic,population_65_plus,med_age
20853,159080,54311,19.3,29673,10035,15086,3188,67,3508,10,130,7115,4706,41.4
20866,140308,53463,31.9,13344,4652,3483,5703,30,2402,6,59,1287,1022,36.5
20906,97521,45025,34.0,64696,25715,20713,15799,112,7489,32,452,18687,12445,40.1
20833,204375,72026,12.2,7735,2545,5624,687,6,678,0,30,521,777,42.5
20904,96025,48018,35.7,54612,21452,14560,22696,81,7533,34,216,8061,8192,38.0
